pol        seed |      rew      cap     step      mdl     wait     comp      nsv |   pku    pkr obs  obsr   pkv   pkvr    mwt   cmp    cmr   anp   anpr     mtt   pnc    pncr |   noop  overld  mcand  cne_fr cne_mn   dstep    macmr    msd
0           200 |    -0.75     0.00     0.00    -7.90    -3.84    11.00     0.00 | 11/19   0.58 11   0.58  4/11   0.36  206.18 11/19   0.58  6/19   0.32  287.64  0/11   0.00 |   0.756  0.611   0.75  0.337   2.22     12   -0.041     18
1           300 |     5.08     0.00     0.00    -3.10    -2.82    11.00     0.00 | 11/19   0.58 10   0.53  2/11   0.18  210.45 11/19   0.58  6/19   0.32  272.09  0/11   0.00 |   0.694  0.647   0.89  0.444   2.00     12    0.299     17
2           400 |     3.09     0.00     0.00    -3.58    -3.32    10.00     0.00 | 10/20   0.50 11   0.55  2/10   0.20  166.00 10/20   0.50  0/20   0.00  216.00  0/10   0.00 |   0.787  0.533   0.90  0.438   2.06     12    0.206     15
3           500 |     3.73     0.00     0.00    -3.77    -3.50    11.00     0.00 | 11/19   0.58 11   0.58  4/11   0.36  226.73 11/19   0.58  2/19   0.11  323.55  0/11   0.00 |   0.778  0.611   0.92  0.442   2.07     12    0.207     18
4           600 |     5.92     0.00     0.00    -3.60    -2.48    12.00     0.00 | 12/18   0.67 10   0.56  4/12   0.33  182.17 12/18   0.67  2/18   0.11  254.67  0/12   0.00 |   0.744  0.556   0.88  0.432   2.05     12    0.329     18
5           700 |     3.40     0.00     0.00    -2.57    -4.04    10.00     0.00 | 10/20   0.50 10   0.50  0/10   0.00  161.40 10/20   0.50  0/20   0.00  307.50  0/10   0.00 |   0.787  0.562   0.91  0.494   1.83     12    0.212     16
6           800 |     3.20     0.00     0.00    -3.63    -2.17     9.00     0.00 |  9/21   0.43 13   0.62  1/9    0.11  128.89  9/21   0.43  0/21   0.00  240.33  0/9    0.00 |   0.677  0.769   1.13  0.600   1.88     12    0.246     13
7           900 |     4.84     0.00     0.00    -4.18    -1.98    11.00     0.00 | 11/19   0.58 12   0.63  4/11   0.36  208.00 11/19   0.58  0/19   0.00  276.55  0/11   0.00 |   0.789  0.579   0.94  0.440   2.14     12    0.255     19
8          1000 |     2.80     0.00     0.00    -4.13    -2.07     9.00     0.00 | 11/21   0.52 14   0.67  4/11   0.36  223.73  9/21   0.43  0/21   0.00  269.56  2/11   0.18 |   0.840  0.450   0.74  0.400   1.86     12    0.140     20
9           100 |     1.71     0.00     0.00    -7.13    -1.16    10.00     0.00 | 10/20   0.50 17   0.85  8/10   0.80  332.30 10/20   0.50  4/20   0.20  265.10  0/10   0.00 |   0.726  0.526   1.06  0.490   2.16     12    0.090     19
10          200 |     3.01     0.00     0.00    -3.48    -3.51    10.00     0.00 | 10/20   0.50 11   0.55  2/10   0.20  164.90 10/20   0.50  0/20   0.00  298.10  0/10   0.00 |   0.765  0.529   0.90  0.411   2.19     11    0.177     17
11          300 |     2.43     0.00     0.00    -5.16    -2.40    10.00     0.00 | 12/20   0.60 15   0.75  7/12   0.58  254.58 10/20   0.50  2/20   0.10  252.40  2/12   0.17 |   0.770  0.450   0.91  0.467   1.96     12    0.122     20
12          400 |     3.54     0.00     0.00    -4.88    -1.58    10.00     0.00 | 10/20   0.50 14   0.70  4/10   0.40  216.90 10/20   0.50  2/20   0.10  298.40  0/10   0.00 |   0.737  0.526   0.92  0.410   2.24     12    0.186     19
13          500 |     2.35     0.00     0.00    -5.16    -1.49     9.00     0.00 | 11/21   0.52 16   0.76  6/11   0.55  314.36  9/21   0.43  4/21   0.19  230.89  2/11   0.18 |   0.760  0.550   0.91  0.448   2.04     12    0.117     20
14          600 |     4.71     0.00     0.00    -4.17    -2.12    11.00     0.00 | 11/19   0.58 12   0.63  4/11   0.36  216.36 11/19   0.58  4/19   0.21  223.91  0/11   0.00 |   0.811  0.526   0.82  0.400   2.05     12    0.248     19
15          700 |     6.42     0.00     0.00    -1.53    -4.04    12.00     0.00 | 12/18   0.67  6   0.33  0/12   0.00  134.75 12/18   0.67  0/18   0.00  258.25  0/12   0.00 |   0.725  0.625   0.85  0.471   1.80     12    0.401     16
16          800 |     5.47     0.00     0.00    -2.57    -2.96    11.00     0.00 | 11/19   0.58  9   0.47  1/11   0.09  144.09 11/19   0.58  0/19   0.00  291.18  0/11   0.00 |   0.830  0.500   0.69  0.352   1.95     11    0.274     20
17          900 |     3.45     0.00     0.00    -3.63    -2.91    10.00     0.00 | 10/20   0.50 12   0.60  2/10   0.20  230.80 10/20   0.50  4/20   0.20  207.50  0/10   0.00 |   0.779  0.579   0.93  0.460   2.02     12    0.182     19
18         1000 |     4.76     0.00     0.00    -4.10    -2.14    11.00     0.00 | 11/19   0.58 12   0.63  4/11   0.36  200.91 11/19   0.58  6/19   0.32  238.18  0/11   0.00 |   0.688  0.625   1.11  0.553   2.00     12    0.297     16
19          100 |     3.50     0.00     0.00    -3.60    -2.90    10.00     0.00 | 12/20   0.60 12   0.60  4/12   0.33  270.83 10/20   0.50  2/20   0.10  279.50  2/12   0.17 |   0.760  0.550   0.79  0.381   2.08     12    0.175     20
20          200 |     5.95     0.00     0.00    -3.18    -2.87    12.00     0.00 | 12/18   0.67  9   0.50  4/12   0.33  199.17 12/18   0.67  0/18   0.00  308.08  0/12   0.00 |   0.842  0.579   0.74  0.420   1.76     12    0.313     19
21          300 |     7.14     0.00     0.00    -2.07    -3.80    13.00     0.00 | 13/17   0.76  6   0.35  2/13   0.15  159.54 13/17   0.76  0/17   0.00  313.77  0/13   0.00 |   0.811  0.556   0.58  0.358   1.62     12    0.396     18
22          400 |     7.02     0.00     0.00    -2.60    -2.38    12.00     0.00 | 12/18   0.67  8   0.44  2/12   0.17  130.25 12/18   0.67  0/18   0.00  329.25  0/12   0.00 |   0.811  0.474   0.53  0.310   1.71     10    0.370     19
23          500 |     3.40     0.00     0.00    -4.10    -2.50    10.00     0.00 | 10/20   0.50 13   0.65  3/10   0.30  199.70 10/20   0.50  2/20   0.10  260.40  0/10   0.00 |   0.779  0.579   0.90  0.430   2.09     12    0.179     19
24          600 |     5.48     0.00     0.00    -3.07    -3.45    12.00     0.00 | 12/18   0.67  8   0.44  3/12   0.25  161.67 12/18   0.67  2/18   0.11  353.25  0/12   0.00 |   0.756  0.556   0.66  0.368   1.80     12    0.304     18
25          700 |     6.10     0.00     0.00    -3.15    -2.75    12.00     0.00 | 12/18   0.67  9   0.50  4/12   0.33  166.42 12/18   0.67  2/18   0.11  274.42  0/12   0.00 |   0.750  0.688   0.72  0.412   1.74     12    0.381     16
26          800 |     4.69     0.00     0.00    -3.32    -3.00    11.00     0.00 | 11/19   0.58 10   0.53  3/11   0.27  160.82 11/19   0.58  0/19   0.00  227.00  0/11   0.00 |   0.765  0.588   0.81  0.433   1.87     12    0.276     17
27          900 |     4.54     0.00     0.00    -3.55    -2.91    11.00     0.00 | 11/19   0.58 10   0.53  3/11   0.27  159.91 11/19   0.58  0/19   0.00  237.00  0/11   0.00 |   0.753  0.706   0.90  0.489   1.84     12    0.267     17
28         1000 |     5.29     0.00     0.00    -3.13    -2.58    11.00     0.00 | 11/19   0.58 10   0.53  2/11   0.18  159.73 11/19   0.58  0/19   0.00  254.18  0/11   0.00 |   0.747  0.600   0.80  0.425   1.88     12    0.353     15
29          100 |     4.45     0.00     0.00    -4.13    -2.42    11.00     0.00 | 11/19   0.58 12   0.63  4/11   0.36  236.64 11/19   0.58  4/19   0.21  233.55  0/11   0.00 |   0.767  0.611   0.94  0.442   2.12     12    0.247     18
30          200 |     7.51     0.00     0.00    -3.57    -1.92    13.00     0.00 | 13/17   0.76  9   0.53  5/13   0.38  208.69 13/17   0.76  2/17   0.12  258.85  0/13   0.00 |   0.740  0.550   0.81  0.390   2.07     12    0.376     20
31          300 |     6.48     0.00     0.00    -2.07    -3.45    12.00     0.00 | 12/18   0.67  7   0.39  1/12   0.08  139.83 12/18   0.67  0/18   0.00  253.08  0/12   0.00 |   0.688  0.688   0.89  0.459   1.95     11    0.405     16
32          400 |     3.87     0.00     0.00    -3.63    -4.50    12.00     0.00 | 12/18   0.67  7   0.39  1/12   0.08  150.00 12/18   0.67  0/18   0.00  315.00  0/12   0.00 |   0.789  0.444   0.64  0.326   1.97     12    0.215     18
33          500 |     4.23     0.00     0.00    -3.10    -2.67    10.00     0.00 | 10/20   0.50 11   0.55  1/10   0.10  131.90 10/20   0.50  0/20   0.00  305.60  0/10   0.00 |   0.760  0.533   0.76  0.438   1.74     12    0.282     15
34          600 |     4.64     0.00     0.00    -2.57    -2.79    10.00     0.00 | 10/20   0.50 10   0.50  0/10   0.00  111.80 10/20   0.50  0/20   0.00  282.90  0/10   0.00 |   0.822  0.556   0.62  0.358   1.74     12    0.258     18
35          700 |     3.73     0.00     0.00    -3.63    -2.64    10.00     0.00 | 10/20   0.50 12   0.60  2/10   0.20  164.10 10/20   0.50  0/20   0.00  242.30  0/10   0.00 |   0.753  0.588   0.93  0.444   2.10     12    0.219     17
36          800 |     6.61     0.00     0.00    -2.10    -3.29    12.00     0.00 | 12/18   0.67  7   0.39  1/12   0.08  143.50 12/18   0.67  2/18   0.11  276.67  0/12   0.00 |   0.718  0.706   0.64  0.400   1.61     12    0.389     17
37          900 |     6.23     0.00     0.00    -2.87    -2.90    12.00     0.00 | 14/18   0.78  7   0.39  3/14   0.21  177.50 12/18   0.67  0/18   0.00  263.25  2/14   0.14 |   0.740  0.550   0.63  0.333   1.89     11    0.312     20
38         1000 |     5.64     0.00     0.00    -3.67    -2.69    12.00     0.00 | 12/18   0.67 10   0.56  4/12   0.33  196.08 12/18   0.67  0/18   0.00  266.50  0/12   0.00 |   0.688  0.750   0.91  0.447   2.03     12    0.352     16
39          100 |     4.17     0.00     0.00    -3.07    -3.77    11.00     0.00 | 11/19   0.58 10   0.53  2/11   0.18  196.18 11/19   0.58  2/19   0.11  216.00  0/11   0.00 |   0.718  0.529   0.97  0.500   1.93     12    0.245     17
40          200 |     3.49     0.00     0.00    -4.10    -2.41    10.00     0.00 | 10/20   0.50 13   0.65  3/10   0.30  189.90 10/20   0.50  0/20   0.00  307.00  0/10   0.00 |   0.776  0.529   0.79  0.444   1.77     12    0.206     17
41          300 |     6.58     0.00     0.00    -3.36    -3.05    13.00     0.00 | 13/17   0.76  8   0.47  5/13   0.38  204.00 13/17   0.76  0/17   0.00  256.46  0/13   0.00 |   0.780  0.550   0.72  0.352   2.05     12    0.329     20
42          400 |     5.79     0.00     0.00    -4.10    -2.11    12.00     0.00 | 12/18   0.67 11   0.61  5/12   0.42  199.17 12/18   0.67  4/18   0.22  306.50  0/12   0.00 |   0.747  0.579   0.82  0.430   1.91     12    0.305     19
43          500 |     2.40     0.00     0.00    -5.52    -3.08    11.00     0.00 | 11/19   0.58 12   0.63  5/11   0.45  299.27 11/19   0.58  2/19   0.11  250.45  0/11   0.00 |   0.720  0.500   0.86  0.390   2.20     12    0.120     20
44          600 |     1.05     0.00     0.00    -5.63    -4.32    11.00     0.00 | 11/19   0.58 10   0.53  2/11   0.18  181.09 11/19   0.58  2/19   0.11  263.55  0/11   0.00 |   0.729  0.647   0.89  0.456   1.95     12    0.062     17
45          700 |     3.70     0.00     0.00    -3.60    -2.70    10.00     0.00 | 10/20   0.50 12   0.60  2/10   0.20  166.90 10/20   0.50  2/20   0.10  177.70  0/10   0.00 |   0.586  0.786   1.09  0.547   2.00     12    0.264     14
46          800 |     7.68     0.00     0.00    -1.60    -3.72    13.00     0.00 | 13/17   0.76  5   0.29  1/13   0.08  136.08 13/17   0.76  0/17   0.00  299.00  0/13   0.00 |   0.741  0.647   0.67  0.378   1.76     12    0.452     17
47          900 |     6.49     0.00     0.00    -2.57    -2.94    12.00     0.00 | 12/18   0.67  8   0.44  2/12   0.17  153.83 12/18   0.67  0/18   0.00  332.67  0/12   0.00 |   0.800  0.474   0.57  0.330   1.73     12    0.342     19
48         1000 |     1.68     0.00     0.00    -5.70    -2.62    10.00     0.00 | 10/20   0.50 13   0.65  3/10   0.30  184.20 10/20   0.50  4/20   0.20  258.30  0/10   0.00 |   0.729  0.588   0.82  0.400   2.06     11    0.099     17
49          100 |     5.86     0.00     0.00    -2.57    -3.57    12.00     0.00 | 12/18   0.67  8   0.44  2/12   0.17  165.50 12/18   0.67  0/18   0.00  275.92  0/12   0.00 |   0.700  0.625   0.86  0.424   2.03     12    0.366     16
50          200 |     3.66     0.00     0.00    -4.13    -2.21    10.00     0.00 | 10/20   0.50 13   0.65  3/10   0.30  202.80 10/20   0.50  2/20   0.10  261.20  0/10   0.00 |   0.675  0.625   0.98  0.471   2.08     12    0.228     16
51          300 |     5.37     0.00     0.00    -3.97    -2.66    12.00     0.00 | 12/18   0.67 10   0.56  4/12   0.33  216.17 12/18   0.67  2/18   0.11  283.33  0/12   0.00 |   0.726  0.579   0.84  0.380   2.21     11    0.283     19
52          400 |     4.15     0.00     0.00    -4.10    -1.75    10.00     0.00 | 12/20   0.60 13   0.65  5/12   0.42  235.58 10/20   0.50  0/20   0.00  310.90  2/12   0.17 |   0.810  0.500   0.65  0.343   1.89     12    0.207     20
53          500 |     4.49     0.00     0.00    -3.05    -3.46    11.00     0.00 | 11/19   0.58  9   0.47  2/11   0.18  155.64 11/19   0.58  0/19   0.00  330.73  0/11   0.00 |   0.741  0.588   0.60  0.333   1.80     11    0.264     17
54          600 |     5.30     0.00     0.00    -3.63    -2.06    11.00     0.00 | 11/19   0.58 11   0.58  3/11   0.27  193.00 11/19   0.58  6/19   0.32  254.09  0/11   0.00 |   0.663  0.632   0.74  0.420   1.76     12    0.279     19
55          700 |     3.05     0.00     0.00    -4.63    -3.32    11.00     0.00 | 13/19   0.68  9   0.47  3/13   0.23  160.77 11/19   0.58  0/19   0.00  255.09  2/13   0.15 |   0.740  0.550   0.62  0.343   1.81     12    0.153     20
56          800 |     6.40     0.00     0.00    -2.07    -3.53    12.00     0.00 | 12/18   0.67  7   0.39  1/12   0.08  161.42 12/18   0.67  2/18   0.11  240.58  0/12   0.00 |   0.635  0.706   0.87  0.478   1.81     12    0.376     17
57          900 |     7.41     0.00     0.00    -2.60    -2.99    13.00     0.00 | 13/17   0.76  7   0.41  3/13   0.23  177.08 13/17   0.76  2/17   0.12  267.15  0/13   0.00 |   0.726  0.526   0.67  0.380   1.76     12    0.390     19
58         1000 |     3.80     0.00     0.00    -3.07    -3.13    10.00     0.00 | 12/20   0.60 11   0.55  3/12   0.25  220.17 10/20   0.50  0/20   0.00  316.10  2/12   0.17 |   0.800  0.450   0.65  0.343   1.89     12    0.190     20
59          100 |     5.64     0.00     0.00    -2.57    -2.79    11.00     0.00 | 11/19   0.58  9   0.47  1/11   0.09  126.82 11/19   0.58  2/19   0.11  354.09  0/11   0.00 |   0.778  0.611   0.54  0.305   1.76     11    0.314     18
60          200 |     5.68     0.00     0.00    -3.03    -3.28    12.00     0.00 | 12/18   0.67  8   0.44  3/12   0.25  178.50 12/18   0.67  4/18   0.22  229.50  0/12   0.00 |   0.600  0.706   1.04  0.522   2.00     12    0.334     17
61          300 |     5.07     0.00     0.00    -2.88    -3.05    11.00     0.00 | 11/19   0.58  9   0.47  2/11   0.18  172.73 11/19   0.58  2/19   0.11  286.00  0/11   0.00 |   0.718  0.647   0.80  0.400   2.00     12    0.298     17
